Dataset,Classifier,Metric,Standard,Oversampling,Proposed
Baseball,DT,Accuracy,\textbf{0.892 $\pm$ 0.008},0.856 $\pm$ 0.009,0.856 $\pm$ 0.009
Baseball,DT,F-score,\textbf{0.557 $\pm$ 0.029},0.552 $\pm$ 0.018,0.551 $\pm$ 0.020
Baseball,DT,G-mean,0.696 $\pm$ 0.014,\textbf{0.744 $\pm$ 0.024},0.743 $\pm$ 0.024
Baseball,KNN,Accuracy,\textbf{0.926 $\pm$ 0.003},0.877 $\pm$ 0.009,0.885 $\pm$ 0.009
Baseball,KNN,F-score,\textbf{0.605 $\pm$ 0.027},0.592 $\pm$ 0.020,0.584 $\pm$ 0.016
Baseball,KNN,G-mean,0.682 $\pm$ 0.030,\textbf{0.768 $\pm$ 0.021},0.762 $\pm$ 0.020
Baseball,LR,Accuracy,\textbf{0.923 $\pm$ 0.004},0.846 $\pm$ 0.009,0.854 $\pm$ 0.015
Baseball,LR,F-score,0.545 $\pm$ 0.047,0.563 $\pm$ 0.020,\textbf{0.567 $\pm$ 0.021}
Baseball,LR,G-mean,0.621 $\pm$ 0.039,0.803 $\pm$ 0.018,\textbf{0.805 $\pm$ 0.017}
Baseball,RF,Accuracy,\textbf{0.925 $\pm$ 0.005},0.898 $\pm$ 0.005,0.903 $\pm$ 0.007
Baseball,RF,F-score,0.601 $\pm$ 0.054,0.612 $\pm$ 0.031,\textbf{0.615 $\pm$ 0.030}
Baseball,RF,G-mean,0.712 $\pm$ 0.040,\textbf{0.781 $\pm$ 0.032},0.779 $\pm$ 0.032
GD,DT,Accuracy,0.789 $\pm$ 0.008,0.791 $\pm$ 0.007,\textbf{0.807 $\pm$ 0.007}
GD,DT,F-score,0.775 $\pm$ 0.008,0.779 $\pm$ 0.007,\textbf{0.796 $\pm$ 0.008}
GD,DT,G-mean,0.861 $\pm$ 0.005,0.864 $\pm$ 0.005,\textbf{0.874 $\pm$ 0.005}
GD,KNN,Accuracy,0.853 $\pm$ 0.010,0.860 $\pm$ 0.004,\textbf{0.873 $\pm$ 0.012}
GD,KNN,F-score,0.842 $\pm$ 0.011,0.855 $\pm$ 0.005,\textbf{0.865 $\pm$ 0.012}
GD,KNN,G-mean,0.903 $\pm$ 0.007,0.910 $\pm$ 0.003,\textbf{0.916 $\pm$ 0.008}
GD,LR,Accuracy,0.836 $\pm$ 0.007,0.882 $\pm$ 0.005,\textbf{0.900 $\pm$ 0.006}
GD,LR,F-score,0.823 $\pm$ 0.006,0.871 $\pm$ 0.007,\textbf{0.890 $\pm$ 0.007}
GD,LR,G-mean,0.892 $\pm$ 0.004,0.921 $\pm$ 0.004,\textbf{0.933 $\pm$ 0.004}
GD,RF,Accuracy,0.920 $\pm$ 0.007,0.925 $\pm$ 0.006,\textbf{0.926 $\pm$ 0.007}
GD,RF,F-score,0.912 $\pm$ 0.008,0.919 $\pm$ 0.007,\textbf{0.920 $\pm$ 0.007}
GD,RF,G-mean,0.946 $\pm$ 0.006,\textbf{0.950 $\pm$ 0.005},\textbf{0.950 $\pm$ 0.005}
GS,DT,Accuracy,\textbf{0.385 $\pm$ 0.011},0.372 $\pm$ 0.005,0.377 $\pm$ 0.007
GS,DT,F-score,0.332 $\pm$ 0.007,0.338 $\pm$ 0.006,\textbf{0.343 $\pm$ 0.007}
GS,DT,G-mean,0.529 $\pm$ 0.007,0.537 $\pm$ 0.006,\textbf{0.541 $\pm$ 0.007}
GS,KNN,Accuracy,\textbf{0.461 $\pm$ 0.010},0.423 $\pm$ 0.018,0.420 $\pm$ 0.018
GS,KNN,F-score,0.366 $\pm$ 0.014,0.380 $\pm$ 0.013,\textbf{0.382 $\pm$ 0.014}
GS,KNN,G-mean,0.567 $\pm$ 0.007,\textbf{0.579 $\pm$ 0.012},0.578 $\pm$ 0.012
GS,LR,Accuracy,\textbf{0.460 $\pm$ 0.011},0.423 $\pm$ 0.018,0.430 $\pm$ 0.010
GS,LR,F-score,0.255 $\pm$ 0.009,0.353 $\pm$ 0.013,\textbf{0.363 $\pm$ 0.012}
GS,LR,G-mean,0.524 $\pm$ 0.007,0.570 $\pm$ 0.009,\textbf{0.577 $\pm$ 0.011}
GS,RF,Accuracy,\textbf{0.515 $\pm$ 0.010},0.500 $\pm$ 0.010,0.495 $\pm$ 0.008
GS,RF,F-score,0.397 $\pm$ 0.019,\textbf{0.440 $\pm$ 0.016},0.437 $\pm$ 0.012
GS,RF,G-mean,0.595 $\pm$ 0.012,\textbf{0.623 $\pm$ 0.013},0.621 $\pm$ 0.009
IS,DT,Accuracy,0.819 $\pm$ 0.020,0.825 $\pm$ 0.017,\textbf{0.827 $\pm$ 0.015}
IS,DT,F-score,0.818 $\pm$ 0.019,0.823 $\pm$ 0.017,\textbf{0.824 $\pm$ 0.015}
IS,DT,G-mean,0.890 $\pm$ 0.012,0.894 $\pm$ 0.011,\textbf{0.895 $\pm$ 0.009}
IS,KNN,Accuracy,0.814 $\pm$ 0.033,0.834 $\pm$ 0.017,\textbf{0.839 $\pm$ 0.015}
IS,KNN,F-score,0.800 $\pm$ 0.038,0.825 $\pm$ 0.017,\textbf{0.830 $\pm$ 0.016}
IS,KNN,G-mean,0.885 $\pm$ 0.020,0.899 $\pm$ 0.010,\textbf{0.903 $\pm$ 0.011}
IS,LR,Accuracy,0.725 $\pm$ 0.015,0.766 $\pm$ 0.011,\textbf{0.778 $\pm$ 0.016}
IS,LR,F-score,0.683 $\pm$ 0.016,0.740 $\pm$ 0.011,\textbf{0.764 $\pm$ 0.016}
IS,LR,G-mean,0.829 $\pm$ 0.010,0.858 $\pm$ 0.007,\textbf{0.866 $\pm$ 0.010}
IS,RF,Accuracy,0.864 $\pm$ 0.017,0.869 $\pm$ 0.017,\textbf{0.874 $\pm$ 0.021}
IS,RF,F-score,0.858 $\pm$ 0.016,0.863 $\pm$ 0.017,\textbf{0.870 $\pm$ 0.022}
IS,RF,G-mean,0.918 $\pm$ 0.010,0.921 $\pm$ 0.010,\textbf{0.924 $\pm$ 0.013}
JV,DT,Accuracy,0.666 $\pm$ 0.011,0.681 $\pm$ 0.011,\textbf{0.692 $\pm$ 0.010}
JV,DT,F-score,0.650 $\pm$ 0.010,0.668 $\pm$ 0.009,\textbf{0.681 $\pm$ 0.009}
JV,DT,G-mean,0.788 $\pm$ 0.008,0.801 $\pm$ 0.006,\textbf{0.808 $\pm$ 0.006}
JV,KNN,Accuracy,\textbf{0.836 $\pm$ 0.015},0.834 $\pm$ 0.013,0.833 $\pm$ 0.009
JV,KNN,F-score,0.824 $\pm$ 0.016,\textbf{0.826 $\pm$ 0.009},\textbf{0.826 $\pm$ 0.009}
JV,KNN,G-mean,0.897 $\pm$ 0.010,\textbf{0.900 $\pm$ 0.005},\textbf{0.900 $\pm$ 0.005}
JV,LR,Accuracy,0.778 $\pm$ 0.013,0.795 $\pm$ 0.014,\textbf{0.806 $\pm$ 0.014}
JV,LR,F-score,0.752 $\pm$ 0.016,0.772 $\pm$ 0.013,\textbf{0.785 $\pm$ 0.015}
JV,LR,G-mean,0.854 $\pm$ 0.008,0.874 $\pm$ 0.009,\textbf{0.880 $\pm$ 0.009}
JV,RF,Accuracy,\textbf{0.869 $\pm$ 0.011},\textbf{0.869 $\pm$ 0.012},\textbf{0.869 $\pm$ 0.013}
JV,RF,F-score,\textbf{0.859 $\pm$ 0.011},0.858 $\pm$ 0.012,\textbf{0.859 $\pm$ 0.013}
JV,RF,G-mean,0.917 $\pm$ 0.007,\textbf{0.918 $\pm$ 0.007},\textbf{0.918 $\pm$ 0.008}
MZ,DT,Accuracy,0.588 $\pm$ 0.014,0.592 $\pm$ 0.012,\textbf{0.604 $\pm$ 0.012}
MZ,DT,F-score,0.587 $\pm$ 0.016,0.591 $\pm$ 0.014,\textbf{0.602 $\pm$ 0.015}
MZ,DT,G-mean,0.747 $\pm$ 0.010,0.750 $\pm$ 0.008,\textbf{0.758 $\pm$ 0.009}
MZ,KNN,Accuracy,\textbf{0.770 $\pm$ 0.010},\textbf{0.770 $\pm$ 0.008},0.762 $\pm$ 0.010
MZ,KNN,F-score,0.763 $\pm$ 0.012,\textbf{0.766 $\pm$ 0.010},0.758 $\pm$ 0.011
MZ,KNN,G-mean,0.864 $\pm$ 0.007,\textbf{0.865 $\pm$ 0.005},0.861 $\pm$ 0.005
MZ,LR,Accuracy,0.758 $\pm$ 0.016,0.770 $\pm$ 0.018,\textbf{0.775 $\pm$ 0.015}
MZ,LR,F-score,0.747 $\pm$ 0.016,0.760 $\pm$ 0.020,\textbf{0.766 $\pm$ 0.019}
MZ,LR,G-mean,0.857 $\pm$ 0.010,0.865 $\pm$ 0.011,\textbf{0.868 $\pm$ 0.010}
MZ,RF,Accuracy,0.752 $\pm$ 0.013,0.756 $\pm$ 0.013,\textbf{0.757 $\pm$ 0.012}
MZ,RF,F-score,0.745 $\pm$ 0.014,0.747 $\pm$ 0.015,\textbf{0.749 $\pm$ 0.013}
MZ,RF,G-mean,0.854 $\pm$ 0.008,0.856 $\pm$ 0.008,\textbf{0.858 $\pm$ 0.008}
MP,DT,Accuracy,0.683 $\pm$ 0.012,0.686 $\pm$ 0.015,\textbf{0.693 $\pm$ 0.013}
MP,DT,F-score,0.677 $\pm$ 0.012,0.680 $\pm$ 0.015,\textbf{0.686 $\pm$ 0.014}
MP,DT,G-mean,0.803 $\pm$ 0.008,0.804 $\pm$ 0.010,\textbf{0.808 $\pm$ 0.009}
MP,KNN,Accuracy,0.781 $\pm$ 0.012,0.800 $\pm$ 0.011,\textbf{0.833 $\pm$ 0.020}
MP,KNN,F-score,0.769 $\pm$ 0.012,0.794 $\pm$ 0.010,\textbf{0.826 $\pm$ 0.017}
MP,KNN,G-mean,0.858 $\pm$ 0.007,0.873 $\pm$ 0.007,\textbf{0.895 $\pm$ 0.012}
MP,LR,Accuracy,0.829 $\pm$ 0.010,0.852 $\pm$ 0.006,\textbf{0.862 $\pm$ 0.009}
MP,LR,F-score,0.815 $\pm$ 0.009,0.846 $\pm$ 0.007,\textbf{0.857 $\pm$ 0.009}
MP,LR,G-mean,0.893 $\pm$ 0.006,0.910 $\pm$ 0.004,\textbf{0.917 $\pm$ 0.005}
MP,RF,Accuracy,0.891 $\pm$ 0.008,0.897 $\pm$ 0.010,\textbf{0.899 $\pm$ 0.007}
MP,RF,F-score,0.885 $\pm$ 0.010,0.892 $\pm$ 0.011,\textbf{0.893 $\pm$ 0.006}
MP,RF,G-mean,0.931 $\pm$ 0.006,\textbf{0.936 $\pm$ 0.006},\textbf{0.936 $\pm$ 0.005}
Pendigits,DT,Accuracy,0.790 $\pm$ 0.011,0.793 $\pm$ 0.006,\textbf{0.807 $\pm$ 0.005}
Pendigits,DT,F-score,0.787 $\pm$ 0.010,0.790 $\pm$ 0.005,\textbf{0.805 $\pm$ 0.004}
Pendigits,DT,G-mean,0.876 $\pm$ 0.007,0.878 $\pm$ 0.004,\textbf{0.887 $\pm$ 0.003}
Pendigits,KNN,Accuracy,0.912 $\pm$ 0.004,0.921 $\pm$ 0.008,\textbf{0.923 $\pm$ 0.010}
Pendigits,KNN,F-score,0.905 $\pm$ 0.004,0.918 $\pm$ 0.009,\textbf{0.920 $\pm$ 0.011}
Pendigits,KNN,G-mean,0.947 $\pm$ 0.003,0.954 $\pm$ 0.005,\textbf{0.956 $\pm$ 0.006}
Pendigits,LR,Accuracy,0.849 $\pm$ 0.009,0.844 $\pm$ 0.007,\textbf{0.854 $\pm$ 0.007}
Pendigits,LR,F-score,0.842 $\pm$ 0.009,0.836 $\pm$ 0.007,\textbf{0.848 $\pm$ 0.009}
Pendigits,LR,G-mean,0.912 $\pm$ 0.005,0.909 $\pm$ 0.004,\textbf{0.915 $\pm$ 0.005}
Pendigits,RF,Accuracy,0.941 $\pm$ 0.003,\textbf{0.943 $\pm$ 0.003},\textbf{0.943 $\pm$ 0.004}
Pendigits,RF,F-score,0.939 $\pm$ 0.004,0.941 $\pm$ 0.003,\textbf{0.942 $\pm$ 0.005}
Pendigits,RF,G-mean,0.966 $\pm$ 0.002,\textbf{0.967 $\pm$ 0.002},\textbf{0.967 $\pm$ 0.002}
SP,DT,Accuracy,\textbf{0.604 $\pm$ 0.010},0.595 $\pm$ 0.011,0.600 $\pm$ 0.012
SP,DT,F-score,0.607 $\pm$ 0.012,0.606 $\pm$ 0.014,\textbf{0.611 $\pm$ 0.016}
SP,DT,G-mean,0.755 $\pm$ 0.009,0.765 $\pm$ 0.010,\textbf{0.770 $\pm$ 0.011}
SP,KNN,Accuracy,\textbf{0.622 $\pm$ 0.013},0.578 $\pm$ 0.009,0.586 $\pm$ 0.012
SP,KNN,F-score,\textbf{0.604 $\pm$ 0.015},0.578 $\pm$ 0.012,0.581 $\pm$ 0.014
SP,KNN,G-mean,0.762 $\pm$ 0.010,\textbf{0.788 $\pm$ 0.008},0.782 $\pm$ 0.007
SP,LR,Accuracy,\textbf{0.591 $\pm$ 0.008},0.552 $\pm$ 0.008,0.560 $\pm$ 0.008
SP,LR,F-score,0.495 $\pm$ 0.029,0.536 $\pm$ 0.009,\textbf{0.548 $\pm$ 0.011}
SP,LR,G-mean,0.660 $\pm$ 0.016,0.791 $\pm$ 0.005,\textbf{0.793 $\pm$ 0.005}
SP,RF,Accuracy,0.700 $\pm$ 0.016,\textbf{0.703 $\pm$ 0.013},0.696 $\pm$ 0.009
SP,RF,F-score,0.707 $\pm$ 0.024,\textbf{0.726 $\pm$ 0.010},0.718 $\pm$ 0.011
SP,RF,G-mean,0.800 $\pm$ 0.017,\textbf{0.836 $\pm$ 0.008},0.831 $\pm$ 0.009
Texture,DT,Accuracy,0.793 $\pm$ 0.017,0.794 $\pm$ 0.008,\textbf{0.806 $\pm$ 0.006}
Texture,DT,F-score,0.790 $\pm$ 0.016,0.792 $\pm$ 0.008,\textbf{0.804 $\pm$ 0.006}
Texture,DT,G-mean,0.880 $\pm$ 0.010,0.881 $\pm$ 0.005,\textbf{0.888 $\pm$ 0.004}
Texture,KNN,Accuracy,0.909 $\pm$ 0.007,0.920 $\pm$ 0.004,\textbf{0.924 $\pm$ 0.005}
Texture,KNN,F-score,0.903 $\pm$ 0.007,0.917 $\pm$ 0.004,\textbf{0.920 $\pm$ 0.006}
Texture,KNN,G-mean,0.946 $\pm$ 0.004,0.954 $\pm$ 0.002,\textbf{0.957 $\pm$ 0.003}
Texture,LR,Accuracy,0.894 $\pm$ 0.009,0.935 $\pm$ 0.009,\textbf{0.940 $\pm$ 0.008}
Texture,LR,F-score,0.884 $\pm$ 0.010,0.932 $\pm$ 0.009,\textbf{0.937 $\pm$ 0.008}
Texture,LR,G-mean,0.936 $\pm$ 0.005,0.963 $\pm$ 0.005,\textbf{0.965 $\pm$ 0.005}
Texture,RF,Accuracy,0.922 $\pm$ 0.005,0.926 $\pm$ 0.004,\textbf{0.930 $\pm$ 0.004}
Texture,RF,F-score,0.920 $\pm$ 0.005,0.923 $\pm$ 0.004,\textbf{0.927 $\pm$ 0.004}
Texture,RF,G-mean,0.955 $\pm$ 0.003,0.958 $\pm$ 0.002,\textbf{0.960 $\pm$ 0.002}
Usps,DT,Accuracy,0.744 $\pm$ 0.014,0.747 $\pm$ 0.018,\textbf{0.753 $\pm$ 0.016}
Usps,DT,F-score,0.715 $\pm$ 0.016,0.721 $\pm$ 0.019,\textbf{0.728 $\pm$ 0.018}
Usps,DT,G-mean,0.832 $\pm$ 0.010,0.838 $\pm$ 0.012,\textbf{0.841 $\pm$ 0.011}
Usps,KNN,Accuracy,0.894 $\pm$ 0.009,\textbf{0.899 $\pm$ 0.007},0.896 $\pm$ 0.008
Usps,KNN,F-score,0.877 $\pm$ 0.011,\textbf{0.885 $\pm$ 0.007},0.883 $\pm$ 0.009
Usps,KNN,G-mean,0.929 $\pm$ 0.006,\textbf{0.934 $\pm$ 0.005},0.933 $\pm$ 0.005
Usps,LR,Accuracy,0.920 $\pm$ 0.011,\textbf{0.921 $\pm$ 0.012},0.919 $\pm$ 0.013
Usps,LR,F-score,0.909 $\pm$ 0.012,\textbf{0.910 $\pm$ 0.013},0.907 $\pm$ 0.014
Usps,LR,G-mean,0.948 $\pm$ 0.007,\textbf{0.949 $\pm$ 0.008},0.947 $\pm$ 0.008
Usps,RF,Accuracy,0.909 $\pm$ 0.010,0.916 $\pm$ 0.009,\textbf{0.918 $\pm$ 0.009}
Usps,RF,F-score,0.895 $\pm$ 0.012,0.905 $\pm$ 0.010,\textbf{0.906 $\pm$ 0.009}
Usps,RF,G-mean,0.941 $\pm$ 0.007,\textbf{0.946 $\pm$ 0.006},\textbf{0.946 $\pm$ 0.006}
Vehicle,DT,Accuracy,\textbf{0.620 $\pm$ 0.011},0.616 $\pm$ 0.009,0.615 $\pm$ 0.009
Vehicle,DT,F-score,\textbf{0.620 $\pm$ 0.009},0.616 $\pm$ 0.005,0.615 $\pm$ 0.006
Vehicle,DT,G-mean,\textbf{0.736 $\pm$ 0.009},0.733 $\pm$ 0.007,0.732 $\pm$ 0.006
Vehicle,KNN,Accuracy,0.608 $\pm$ 0.020,0.609 $\pm$ 0.018,\textbf{0.612 $\pm$ 0.016}
Vehicle,KNN,F-score,0.593 $\pm$ 0.025,0.596 $\pm$ 0.019,\textbf{0.605 $\pm$ 0.015}
Vehicle,KNN,G-mean,0.727 $\pm$ 0.015,0.728 $\pm$ 0.011,\textbf{0.732 $\pm$ 0.009}
Vehicle,LR,Accuracy,0.589 $\pm$ 0.016,0.590 $\pm$ 0.016,\textbf{0.609 $\pm$ 0.013}
Vehicle,LR,F-score,0.560 $\pm$ 0.019,0.570 $\pm$ 0.016,\textbf{0.590 $\pm$ 0.016}
Vehicle,LR,G-mean,0.713 $\pm$ 0.012,0.716 $\pm$ 0.011,\textbf{0.730 $\pm$ 0.012}
Vehicle,RF,Accuracy,0.697 $\pm$ 0.013,\textbf{0.699 $\pm$ 0.017},0.694 $\pm$ 0.012
Vehicle,RF,F-score,\textbf{0.688 $\pm$ 0.013},0.687 $\pm$ 0.018,0.686 $\pm$ 0.014
Vehicle,RF,G-mean,0.793 $\pm$ 0.010,\textbf{0.794 $\pm$ 0.012},0.792 $\pm$ 0.010
Volkert,DT,Accuracy,\textbf{0.369 $\pm$ 0.010},0.348 $\pm$ 0.006,0.350 $\pm$ 0.006
Volkert,DT,F-score,0.256 $\pm$ 0.011,0.263 $\pm$ 0.006,\textbf{0.266 $\pm$ 0.006}
Volkert,DT,G-mean,0.489 $\pm$ 0.012,0.503 $\pm$ 0.007,\textbf{0.506 $\pm$ 0.007}
Volkert,KNN,Accuracy,\textbf{0.458 $\pm$ 0.014},0.417 $\pm$ 0.017,0.419 $\pm$ 0.012
Volkert,KNN,F-score,\textbf{0.320 $\pm$ 0.008},0.317 $\pm$ 0.016,0.311 $\pm$ 0.013
Volkert,KNN,G-mean,0.541 $\pm$ 0.004,\textbf{0.556 $\pm$ 0.013},0.547 $\pm$ 0.011
Volkert,LR,Accuracy,\textbf{0.508 $\pm$ 0.011},0.435 $\pm$ 0.018,0.434 $\pm$ 0.017
Volkert,LR,F-score,0.324 $\pm$ 0.024,\textbf{0.338 $\pm$ 0.016},0.337 $\pm$ 0.015
Volkert,LR,G-mean,0.556 $\pm$ 0.015,\textbf{0.603 $\pm$ 0.011},0.598 $\pm$ 0.014
Volkert,RF,Accuracy,\textbf{0.511 $\pm$ 0.011},0.504 $\pm$ 0.011,0.499 $\pm$ 0.011
Volkert,RF,F-score,0.336 $\pm$ 0.013,\textbf{0.376 $\pm$ 0.011},0.373 $\pm$ 0.011
Volkert,RF,G-mean,0.563 $\pm$ 0.009,\textbf{0.601 $\pm$ 0.007},0.600 $\pm$ 0.007
Waveform,DT,Accuracy,0.688 $\pm$ 0.007,0.688 $\pm$ 0.007,\textbf{0.690 $\pm$ 0.006}
Waveform,DT,F-score,0.687 $\pm$ 0.007,0.687 $\pm$ 0.007,\textbf{0.689 $\pm$ 0.005}
Waveform,DT,G-mean,0.762 $\pm$ 0.005,0.762 $\pm$ 0.005,\textbf{0.763 $\pm$ 0.004}
Waveform,KNN,Accuracy,0.750 $\pm$ 0.018,\textbf{0.751 $\pm$ 0.012},0.741 $\pm$ 0.013
Waveform,KNN,F-score,0.748 $\pm$ 0.019,\textbf{0.750 $\pm$ 0.012},0.742 $\pm$ 0.014
Waveform,KNN,G-mean,0.810 $\pm$ 0.014,\textbf{0.811 $\pm$ 0.009},0.805 $\pm$ 0.011
Waveform,LR,Accuracy,0.839 $\pm$ 0.015,\textbf{0.842 $\pm$ 0.018},0.836 $\pm$ 0.018
Waveform,LR,F-score,0.837 $\pm$ 0.015,\textbf{0.841 $\pm$ 0.018},0.836 $\pm$ 0.018
Waveform,LR,G-mean,0.878 $\pm$ 0.012,\textbf{0.880 $\pm$ 0.014},0.876 $\pm$ 0.013
Waveform,RF,Accuracy,0.828 $\pm$ 0.016,\textbf{0.830 $\pm$ 0.015},0.826 $\pm$ 0.019
Waveform,RF,F-score,0.827 $\pm$ 0.017,\textbf{0.830 $\pm$ 0.016},0.826 $\pm$ 0.014
Waveform,RF,G-mean,0.870 $\pm$ 0.013,\textbf{0.872 $\pm$ 0.012},0.869 $\pm$ 0.014
WQ,DT,Accuracy,\textbf{0.508 $\pm$ 0.013},0.478 $\pm$ 0.011,0.479 $\pm$ 0.013
WQ,DT,F-score,\textbf{0.292 $\pm$ 0.017},0.270 $\pm$ 0.012,0.271 $\pm$ 0.012
WQ,DT,G-mean,0.515 $\pm$ 0.021,\textbf{0.517 $\pm$ 0.031},0.514 $\pm$ 0.027
WQ,KNN,Accuracy,\textbf{0.520 $\pm$ 0.023},0.457 $\pm$ 0.021,0.462 $\pm$ 0.019
WQ,KNN,F-score,0.252 $\pm$ 0.052,0.268 $\pm$ 0.021,\textbf{0.271 $\pm$ 0.024}
WQ,KNN,G-mean,0.464 $\pm$ 0.039,\textbf{0.544 $\pm$ 0.050},0.541 $\pm$ 0.050
WQ,LR,Accuracy,\textbf{0.543 $\pm$ 0.020},0.385 $\pm$ 0.037,0.400 $\pm$ 0.037
WQ,LR,F-score,0.196 $\pm$ 0.008,0.225 $\pm$ 0.016,\textbf{0.231 $\pm$ 0.014}
WQ,LR,G-mean,0.437 $\pm$ 0.010,\textbf{0.547 $\pm$ 0.054},0.534 $\pm$ 0.043
WQ,RF,Accuracy,\textbf{0.582 $\pm$ 0.016},0.550 $\pm$ 0.011,0.550 $\pm$ 0.018
WQ,RF,F-score,0.290 $\pm$ 0.027,0.304 $\pm$ 0.024,\textbf{0.305 $\pm$ 0.025}
WQ,RF,G-mean,0.501 $\pm$ 0.018,0.545 $\pm$ 0.048,\textbf{0.548 $\pm$ 0.049}
